,x,y,z,average3,average4,average5,average6,average7,average8,average9,average10,complete3,complete4,complete5,complete6,complete7,complete8,complete9,complete10,single3,single4,single5,single6,single7,single8,single9,single10,ward3,ward4,ward5,ward6,ward7,ward8,ward9,ward10
X1_70,-6.643263529803211,-8.49736944033544,10.893541532228387,0,1,4,4,4,4,4,4,2,0,1,1,1,1,1,1,0,0,0,2,2,2,2,2,1,3,3,1,0,7,7,7
X1_64,9.728699468829161,-5.04773364289809,-3.894432097990548,0,0,0,1,1,0,3,3,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_138,9.862789260578078,-0.03959246904065842,5.806539594705862,0,0,0,1,1,0,3,3,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_104,8.191954288564371,-0.07673118687557229,10.49355111268545,0,0,0,1,1,0,3,3,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_110,14.67174018314785,7.132012967041495,-22.757296289438145,0,0,1,0,6,6,2,0,0,2,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,2,2,0
X1_128,-5.606971242173806,-2.638500896366489,-11.047581567331555,0,0,0,5,5,5,5,5,2,0,2,2,0,5,2,2,0,0,0,0,0,0,0,9,2,2,0,5,5,5,5,5
X1_114,0.38688334518143475,-2.908287667613318,2.307089520218175,0,0,0,5,5,5,5,5,2,0,2,2,0,5,2,2,0,0,0,0,0,0,0,0,2,2,0,5,5,5,5,5
X1_100,6.983957874005861,-3.9042807545466474,0.5106940377508349,0,0,0,1,1,0,3,3,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_48,18.401099399083094,24.3423188759823,-4.754663542945117,0,0,1,0,6,6,2,0,0,2,0,5,2,0,8,8,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,4
X1_60,16.216071503929662,-8.85075864134459,1.093706224161955,0,0,0,1,1,0,3,3,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_74,5.570322653211202,-0.6945721292326215,3.337467897855233,0,0,0,1,1,0,3,3,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_75,18.601377163346875,-8.547688806453305,-10.400313431676086,0,0,0,1,1,0,6,2,0,2,0,5,2,0,5,5,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,6
X1_61,35.48607187728279,23.309467702840333,-27.119129199441087,2,2,2,2,2,2,0,6,0,1,4,4,4,4,4,4,0,0,0,0,0,1,1,1,0,0,2,2,2,0,8,8
X1_49,27.8631747229457,15.884957241411627,-18.24900582389479,0,0,1,0,0,1,1,1,0,2,0,0,5,2,0,9,0,0,0,0,0,0,0,0,0,1,1,0,6,2,2,0
X1_101,17.44431400752818,7.8653499456705385,10.340916680435416,0,0,0,1,1,0,6,2,0,2,0,5,2,0,5,5,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,6
X1_115,-0.9823975300500322,4.340335646930447,16.751747590102376,0,0,0,5,5,5,5,5,2,0,2,2,0,5,2,2,0,0,0,0,0,0,0,0,2,2,0,5,5,5,5,5
X1_129,-16.886848215683404,-5.267815510450045,8.29696606349844,0,1,4,4,4,4,4,4,2,0,1,1,1,1,1,1,0,0,0,2,2,2,2,2,1,3,3,1,0,6,6,2
X1_103,27.223131206462376,2.8120298516052147,-3.205000578353364,0,0,1,0,6,6,2,0,0,2,0,5,2,0,8,8,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,4
X1_117,26.16944794736547,8.189420813661599,-25.085940198412178,0,0,1,0,0,1,1,1,0,2,0,0,5,2,0,9,0,0,0,0,0,0,0,0,0,1,1,0,6,2,2,0
X1_77,29.214070622887068,-8.024528305869344,-11.103003242991623,0,0,1,0,6,6,2,0,0,2,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,2,2,0
X1_63,16.06525774960834,-3.861806398813911,-28.580568796264544,0,0,1,0,6,6,2,0,0,2,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,2,2,0
X1_88,19.67219571133387,-8.895844879367543,-12.357097276783472,0,0,0,1,1,0,6,2,0,2,0,5,2,0,5,5,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,6
X1_89,12.068760012810841,13.494694777828224,-10.816270735256236,0,0,0,1,1,0,6,2,0,2,0,5,2,0,5,5,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,6
X1_62,9.24111226068275,15.881682633708616,8.786455218890216,0,0,0,1,1,0,6,2,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_76,-5.663146106995129,-9.508546648442119,7.260279792058398,0,1,4,4,4,4,4,4,2,0,1,1,1,1,1,1,0,0,0,2,2,2,2,2,1,3,3,1,0,7,7,7
X1_116,15.332525404939128,-3.3681834856250243,13.834073685703146,0,0,0,1,1,0,3,3,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_102,31.53889241120288,2.043589388427302,-6.750253173753059,0,0,1,0,6,6,2,0,0,2,0,0,5,2,0,9,0,0,0,0,0,0,0,0,0,1,1,0,6,2,2,0
X1_11,28.08284304306979,28.319192381136716,-24.557902308431977,2,2,2,2,2,2,0,6,0,1,4,4,4,4,4,4,0,0,0,0,0,1,1,1,0,0,2,2,2,0,8,8
X1_5,10.94631977990427,-10.994332665055834,8.752233854298737,0,0,0,1,1,0,3,3,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_39,-0.9984136495263203,-5.162193229577156,15.798003867553476,0,0,0,5,5,5,5,5,2,0,2,2,0,5,2,2,0,0,0,0,0,0,0,0,2,2,0,5,5,5,5,5
X1_38,-10.448569872648761,-3.4418744231826186,14.356196603451671,0,1,4,4,4,4,4,4,2,0,1,1,1,1,1,1,0,0,0,2,2,2,2,2,1,3,3,1,0,7,7,7
X1_4,2.2907173070931566,15.65971748413751,-29.667369790798706,0,0,1,0,0,3,8,8,0,2,0,0,5,2,0,0,0,0,1,1,1,3,3,3,0,1,1,0,6,2,2,0
X1_10,1.9428245116471285,-1.8669670855373512,13.936096169149167,0,0,0,5,5,5,5,5,2,0,2,2,0,5,2,2,0,0,0,0,0,0,0,0,2,2,0,5,5,5,5,5
X1_6,21.106791822234598,5.225997254252414,3.155024100104365,0,0,0,1,1,0,6,2,0,2,0,5,2,0,5,5,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,6
X1_12,2.030555333043158,14.186299831125085,-28.720546457733914,0,0,1,0,0,3,8,8,0,2,0,0,5,2,0,0,0,0,1,1,1,3,3,3,0,1,1,0,6,2,2,0
X1_13,15.977423874005408,9.103703773850611,-32.04079140299446,0,0,1,0,0,1,1,1,0,2,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,2,2,2,0,3,3
X1_7,8.320862688156918,12.052872774015778,-46.18761900176332,2,2,2,2,2,2,0,9,0,1,4,4,4,4,4,4,2,2,2,5,5,5,5,5,0,0,2,2,2,0,8,8
X1_3,15.898386314361243,9.219564317992454,-32.07592898798241,0,0,1,0,0,1,1,1,0,2,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,2,2,2,0,3,3
X1_17,19.571011094306428,-2.7958054636574032,-4.8228400179014095,0,0,0,1,1,0,6,2,0,2,0,5,2,0,5,5,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,6
X1_16,-8.250288337175625,-6.599621377372569,12.520919499340472,0,1,4,4,4,4,4,4,2,0,1,1,1,1,1,1,0,0,0,2,2,2,2,2,1,3,3,1,0,7,7,7
X1_2,3.5415787582170513,-1.0698050604597418,17.59825000047934,0,0,0,5,5,5,5,5,2,0,2,2,0,5,2,2,0,0,0,0,0,0,0,0,2,2,0,5,5,5,5,5
X1_28,8.14695846980586,-12.8408284469116,-13.425420690309112,0,0,0,1,1,0,6,2,0,2,0,5,2,0,5,5,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_14,13.839629454281788,8.291220017325713,5.016009209759516,0,0,0,1,1,0,6,2,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_0,12.744983873040502,-7.47072480049425,3.3525290720149625,0,0,0,1,1,0,3,3,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_1,-3.354765081930737,0.7493498616663353,18.881829740224866,0,0,0,5,5,5,5,5,2,0,2,2,0,5,2,2,0,0,0,0,0,0,0,0,2,2,0,5,5,5,5,5
X1_15,15.058827702924138,63.259900190405205,-62.96715799153355,1,3,3,3,3,7,7,7,1,3,3,3,3,7,7,7,1,3,3,3,3,7,7,7,0,0,4,4,4,4,4,9
X1_29,18.93387435345714,-13.141797550694031,-7.792245864910213,0,0,0,1,1,0,6,2,0,2,0,5,2,0,5,5,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,6
X1_30,-11.326491287076628,-1.2334019896514703,15.783287056879269,0,1,4,4,4,4,4,4,2,0,1,1,1,1,1,1,0,0,0,2,2,2,2,2,1,3,3,1,0,7,7,7
X1_24,30.556405983913226,-12.473767818138544,-21.063304604381347,0,0,1,0,0,1,1,1,0,2,0,0,6,6,6,6,0,0,0,0,6,6,6,6,0,1,1,0,6,2,2,0
X1_18,24.683438178613827,9.962530481095168,-6.952619105864828,0,0,1,0,6,6,2,0,0,2,0,5,2,0,8,8,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,4
X1_19,9.803780010326575,-7.853494756044311,-5.331389895246542,0,0,0,1,1,0,3,3,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_25,10.997091362059164,-7.948685259980755,-0.5167024332041678,0,0,0,1,1,0,3,3,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_31,18.769992686926688,29.75668157658927,-23.030322234237495,0,0,1,0,0,1,1,1,0,2,0,0,6,6,6,6,0,0,0,0,0,1,1,1,0,0,2,2,2,0,3,3
X1_27,-8.288950064355792,-6.56046642232979,12.517856897107901,0,1,4,4,4,4,4,4,2,0,1,1,1,1,1,1,0,0,0,2,2,2,2,2,1,3,3,1,0,7,7,7
X1_33,12.882843858830759,-9.861313130544572,-17.08248444977397,0,0,0,1,1,0,6,2,0,2,0,5,2,0,5,5,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,6
X1_32,22.076548869994618,19.645280014921475,0.0739857579732449,0,0,1,0,6,6,2,0,0,2,0,5,2,0,8,8,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,4
X1_26,13.813793090475547,-14.127744016329883,1.8597674159523345,0,0,0,1,1,0,3,3,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_22,16.740887045417104,13.35459715784546,-29.128972326433303,0,0,1,0,0,1,1,1,0,2,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,2,2,2,0,3,3
X1_36,14.763964094756766,8.075287676350136,3.8167354042338095,0,0,0,1,1,0,6,2,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_37,-7.632529388041765,-7.59350054205591,12.138325561061048,0,1,4,4,4,4,4,4,2,0,1,1,1,1,1,1,0,0,0,2,2,2,2,2,1,3,3,1,0,7,7,7
X1_23,11.920916747532848,-1.1040327071147702,-9.664083167731498,0,0,0,1,1,0,6,2,0,2,0,5,2,0,5,5,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_9,27.725724307047425,40.24581396475118,-22.727235558886953,2,2,2,2,2,2,0,6,0,1,4,4,4,4,4,4,0,1,4,4,4,4,4,4,0,0,2,2,2,0,8,8
X1_35,22.75992122856009,6.776442043122182,0.33462817983245835,0,0,0,1,1,0,6,2,0,2,0,5,2,0,5,5,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,6
X1_21,22.745121279414157,-7.828521357083316,-4.196416894235626,0,0,0,1,1,0,6,2,0,2,0,5,2,0,5,5,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,6
X1_20,9.179723192583188,-13.179421591924292,-6.344949881807777,0,0,0,1,1,0,3,3,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_34,16.65831197424991,-8.46625299248733,3.8279746104288854,0,0,0,1,1,0,3,3,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_8,4.197506110487229,14.424336505852246,11.007801878766697,0,0,0,1,1,0,3,3,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_127,14.462139644065758,-2.620844449006693,8.664210700213076,0,0,0,1,1,0,3,3,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_133,13.028639822250238,-1.0227571630074241,-0.8537027448275927,0,0,0,1,1,0,3,3,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_53,15.66750592661931,2.8544230241709685,-36.3316054134435,0,0,1,0,0,1,1,1,0,2,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,2,2,2,0,3,3
X1_47,24.925421771254477,-7.353769621797986,-16.10701749409527,0,0,1,0,6,6,2,0,0,2,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,2,2,0
X1_90,18.424902564870333,21.30134304772218,0.2393784750223854,0,0,1,0,6,6,2,0,0,2,0,5,2,0,8,8,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,4
X1_84,21.495539076901213,14.19572047261935,-4.777373357641666,0,0,1,0,6,6,2,0,0,2,0,5,2,0,8,8,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,4
X1_85,2.897748383788595,-12.64369342551187,8.489571205925385,0,0,0,5,5,5,5,5,2,0,2,2,0,5,2,2,0,0,0,0,0,0,0,0,2,2,0,5,5,5,5,5
X1_91,33.74282480216417,6.974831161764958,-12.716228238656624,0,0,1,0,0,1,1,1,0,2,0,0,5,2,0,9,0,0,0,0,0,0,0,0,0,1,1,0,6,2,2,0
X1_46,18.69917855033822,16.905679142988234,-4.425187680091898,0,0,1,0,6,6,2,0,0,2,0,5,2,0,8,8,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,4
X1_52,33.76870353081681,30.99285843925926,-14.657157875906627,2,2,2,2,2,2,0,6,0,1,4,4,4,4,4,4,0,0,0,0,0,1,1,1,0,0,2,2,2,0,8,8
X1_132,26.50675664755337,15.419271210085302,-32.07186671256041,0,0,1,0,0,1,1,1,0,2,0,0,6,6,6,6,0,0,0,0,0,1,1,1,0,0,2,2,2,0,3,3
X1_126,9.79377138131182,15.086629313785705,0.995072918206405,0,0,0,1,1,0,6,2,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_130,9.94333193403023,26.21407614388789,2.070395213667507,0,0,1,0,6,6,2,0,0,2,0,5,2,0,8,8,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,4
X1_124,11.270995109825662,-5.04271243417699,1.3672603123687423,0,0,0,1,1,0,3,3,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_118,-10.044441497786114,-6.683612751369917,11.8836130465966,0,1,4,4,4,4,4,4,2,0,1,1,1,1,1,1,0,0,0,2,2,2,2,2,1,3,3,1,0,7,7,7
X1_44,24.64491566524776,14.492044470619215,-2.7968488173976573,0,0,1,0,6,6,2,0,0,2,0,5,2,0,8,8,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,4
X1_50,18.786703098483414,16.8387480415,-4.3193954163932125,0,0,1,0,6,6,2,0,0,2,0,5,2,0,8,8,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,4
X1_78,9.234738786784666,3.7027980189237053,-5.486754317778597,0,0,0,1,1,0,3,3,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_87,10.134379556159065,-4.178206293779157,-21.834463062336027,0,0,0,1,1,0,6,2,0,2,0,5,2,0,5,5,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,6
X1_93,6.009308362466351,15.725911119238676,-19.39687938584216,0,0,1,0,6,6,2,0,0,2,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,2,2,0
X1_92,17.086897290656367,13.3958050092088,-23.221917356583848,0,0,1,0,6,6,2,0,0,2,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,2,2,0
X1_86,28.123192637412657,4.188581022210978,-31.475772563788574,0,0,1,0,0,1,1,1,0,2,0,0,6,6,6,6,0,0,0,0,0,1,1,1,0,0,2,2,2,0,3,3
X1_79,-11.18693491769673,-11.505141781856716,5.1558981044512375,0,1,4,4,4,4,4,4,2,0,1,1,1,1,1,1,0,0,0,2,2,2,2,2,1,3,3,1,0,7,7,7
X1_51,8.922591372876754,-2.8942829386494497,-28.55326429664613,0,0,1,0,6,6,2,0,0,2,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,2,2,0
X1_45,18.766684440079704,-12.547813998759743,-22.257669549356027,0,0,1,0,6,6,2,0,0,2,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,2,2,0
X1_119,18.381368124694554,-15.123145382189879,10.483057245432207,0,0,0,1,1,0,6,2,0,2,0,5,2,0,5,5,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_125,6.883747217009866,-4.428889304316916,9.459093137582391,0,0,0,1,1,0,3,3,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_131,0.6526388982949903,-4.588914641619467,14.360238216553247,0,0,0,5,5,5,5,5,2,0,2,2,0,5,2,2,0,0,0,0,0,0,0,0,2,2,0,5,5,5,5,5
X1_109,-2.3166725710258924,0.41918438973484173,15.715284695049695,0,0,0,5,5,5,5,5,2,0,2,2,0,5,2,2,0,0,0,0,0,0,0,0,2,2,0,5,5,5,5,5
X1_135,21.29582074172213,10.619037432660622,7.155167669501341,0,0,0,1,1,0,6,2,0,2,0,5,2,0,5,5,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,6
X1_121,12.001188043953729,-1.2607327340644048,16.670215381817492,0,0,0,1,1,0,3,3,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_69,9.358155181781404,5.083072053148101,10.811520380714157,0,0,0,1,1,0,3,3,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_41,20.656280922271755,7.935692267903848,9.599630915776778,0,0,0,1,1,0,6,2,0,2,0,5,2,0,5,5,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,6
X1_55,-12.716608874497153,-0.9651965285196699,14.361425801103426,0,1,4,4,4,4,4,4,2,0,1,1,1,1,1,1,0,0,0,2,2,2,2,2,1,3,3,1,0,7,7,7
X1_82,34.02305811899223,-3.1869997835358626,-4.461706508152737,0,0,1,0,6,6,2,0,0,2,0,0,5,2,0,9,0,0,0,0,0,0,0,0,0,1,1,0,6,2,2,0
X1_96,26.820140029030416,10.55277828185331,4.394874613886638,0,0,1,0,6,6,2,0,0,2,0,5,2,0,8,8,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,4
X1_97,23.327934209193224,5.5281255329987,-12.668278209732833,0,0,1,0,6,6,2,0,0,2,0,5,2,0,8,8,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,4
X1_83,23.099012720316136,-0.31746427233304425,-13.685854655014213,0,0,1,0,6,6,2,0,0,2,0,5,2,0,8,8,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,4
X1_54,7.840586036313175,3.9268607648392795,2.1049768163815283,0,0,0,1,1,0,3,3,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_40,30.215909549186737,-0.9231861884916358,-12.681508178719685,0,0,1,0,6,6,2,0,0,2,0,0,5,2,0,9,0,0,0,0,0,0,0,0,0,1,1,0,6,2,2,0
X1_68,12.058034266852086,10.527957922486044,6.316731711694498,0,0,0,1,1,0,6,2,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_120,24.070874540398407,0.47510403040600996,11.661156541294044,0,0,0,1,1,0,6,2,0,2,0,5,2,0,5,5,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,6
X1_134,0.10196098690741878,-14.881248767237825,-1.511040806904909,0,0,0,5,5,5,5,5,2,0,2,2,0,5,2,2,0,0,0,0,0,0,0,0,2,2,0,5,5,5,5,5
X1_108,18.87521344290334,-2.1038331795105867,-12.496557419634277,0,0,0,1,1,0,6,2,0,2,0,5,2,0,5,5,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,6
X1_122,-2.184494238093732,-0.11373730563545946,18.872189499827158,0,0,0,5,5,5,5,5,2,0,2,2,0,5,2,2,0,0,0,0,0,0,0,0,2,2,0,5,5,5,5,5
X1_136,12.85154565490215,4.5723455876647625,5.143742276157073,0,0,0,1,1,0,3,3,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_56,-4.571854443234709,3.8759185982979028,16.416412574139937,0,0,0,5,5,5,5,5,2,0,2,2,0,5,2,2,0,0,0,0,0,0,0,0,2,2,0,5,5,5,5,5
X1_42,0.24414492151479852,-4.138417648713824,10.955730651031761,0,0,0,5,5,5,5,5,2,0,2,2,0,5,2,2,0,0,0,0,0,0,0,0,2,2,0,5,5,5,5,5
X1_95,11.19774593150073,-1.602642410141596,8.400558950360914,0,0,0,1,1,0,3,3,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_81,31.495191618592752,8.953114955449044,-11.237858981833147,0,0,1,0,0,1,1,1,0,2,0,0,5,2,0,9,0,0,0,0,0,0,0,0,0,1,1,0,6,2,2,0
X1_80,11.791429197348675,14.176607879587783,-10.991277829739387,0,0,0,1,1,0,6,2,0,2,0,5,2,0,5,5,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,6
X1_94,10.837442495191093,2.532471214096499,2.8414871894890656,0,0,0,1,1,0,3,3,2,0,2,2,0,3,3,3,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_43,27.064834975888168,-0.3670607911171367,-6.99909692295855,0,0,1,0,6,6,2,0,0,2,0,5,2,0,8,8,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,4
X1_57,17.202000536837676,-17.153339764134156,-3.331787783473713,0,0,0,1,1,0,6,2,0,2,0,5,2,0,5,5,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
X1_137,14.872439001080888,-4.794134143383905,-16.117900504869933,0,0,0,1,1,0,6,2,0,2,0,5,2,0,5,5,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,6
X1_123,19.238530420945168,-1.6359152232321656,-1.272035342752325,0,0,0,1,1,0,6,2,0,2,0,5,2,0,5,5,0,0,0,0,0,0,0,0,2,2,0,3,3,3,1,1
Y1_304,-18.695702566422625,-4.2947303954746605,3.3834195777668503,0,1,4,4,4,4,4,4,2,0,1,1,1,1,1,1,0,0,0,2,2,2,2,2,1,3,3,1,0,6,6,2
Y1_310,-18.46204747046416,-4.966897891201618,3.2591355389166643,0,1,4,4,4,4,4,4,2,0,1,1,1,1,1,1,0,0,0,2,2,2,2,2,1,3,3,1,0,6,6,2
Y1_338,-19.149568606008373,-2.487538345103173,4.425121989061358,0,1,4,4,4,4,4,4,2,0,1,1,1,1,1,1,0,0,0,2,2,2,2,2,1,3,3,1,0,6,6,2
Y1_106,-18.055682158773045,-4.897789081810803,5.445796680815681,0,1,4,4,4,4,4,4,2,0,1,1,1,1,1,1,0,0,0,2,2,2,2,2,1,3,3,1,0,6,6,2
Y1_112,-18.36248712862843,-6.01606947114707,1.6203819253836615,0,1,4,4,4,4,4,4,2,0,1,1,1,1,1,1,0,0,0,2,2,2,2,2,1,3,3,1,0,6,6,2
